Author,Title,Abstract
"Argilés Marc, Fonts Elisabet, Pérez-Mañá Luis, Martinez-Navarro Beatriz, Sora-Domenjó Carles, Pérez-Cabré Elisabet, Sunyer-Grau Bernat, Rovira-Gay Cristina, Molins-Pitarch Carla, Quevedo-Junyent Lluïsa",Effects of colour and scene dynamism on visual fatigue in animated films.,"Animated films are highly popular in society, particularly among children and adolescents. During film production, selecting an adequate colour palette and scene dynamism is crucial for creating a visual impact on the audience. However, the influence of visual aesthetics, such as colour and scene dynamism on visual fatigue remains unexplored. In the present study, visual fatigue was assessed and compared in 30 young participants after viewing two popular films: Spider-Man: Across the Spider-Verse, an active, fast-paced film, and My Neighbour Totoro, a more relaxed film. Both films were viewed twice, once with the original colour palette and once in greyscale. Watching Spider-Man film induced a greater degree of visual fatigue than My Neighbour Totoro in two subjective questionnaires evaluating visual fatigue, and in the vergence facility and binocular accommodative facility tests. Moreover, important differences in the visual dynamics and colour aspects between both films were found. These results demonstrate that the high-paced and high-colour aspects of films directly affect visual fatigue. Future animated film producers should consider these factors that are relevant to their audiences."
Zeid Alia,,N/A
"Mai Daniel, Muthukumarasamy Nirmal, Ford Bradley, Sekar Poorani",Systemic loxoscelism leading to autoimmune haemolytic anaemia in a healthy young adult.,The brown recluse spider (
"José Alejandro García-Arredondo, Juan Mosqueda, Luis Cuéllar-Balleza, Fátima Pamela Sánchez-Morales, Ivonne Buitrón, Diana Laura Pescador-Tovar, Ashly Mohan",Envenomation by the Indian ornamental tarantula (Poecilotheria regalis): A case report on treatment with Latrodectus mactans antivenom.,"Poecilotheria spiders are considered theraphosids of underestimated clinical importance, with bites from these species inducing symptoms such as severe pain and intense muscle cramps. However, there is no specific treatment for the envenomation caused by these species, which, while native to India and Sri Lanka, are widely distributed worldwide. The present study reports the case of a 31-year-old man bitten by a Poecilotheria regalis specimen. The patient's clinical presentation was similar to Latrodectus envenomation, and patient was treated with an L. mactans antivenom. Most of patient's symptoms improved (fasciculations, pain, erythema, and local swelling), except muscle cramps. A toxicological study conducted on mice did not show that L. mactans antivenom has a neutralizing effect on the toxicity of P. regalis. The present report discusses the envenoming process of Poecilotheria species and the possible neutralizing effect exerted by L. mactans antivenom."
"Fedele Marco, Antonelli Mariangela, Carbone Egidio, Di Stefano Marco, Manna Raffaele, Addolorato Giovanni","Spider Bite Presenting as Fever, Macrophage Activation Syndrome and a Skin Ulcer.","Fever of unknown origin (FUO) refers to a condition of prolonged increased body temperature, without identified causes. The most common cause of FUO worldwide are infections; arthropod bites (loxoscelism) should be considered in view of the spread of the fiddleback spider. Loxoscelism can present in a cutaneous form (a necrotic cutaneous ulcer) or in a systemic form with fever, haemolytic anaemia, rhabdomyolysis and, rarely, macrophage activation syndrome (MAS). For this suspicion, it is important to have actually seen the spider."
Wang Xiaopo,Dermoscopic features of telangiectasia macularis multiplex acquisita.,"Telangiectasia macularis multiplex acquisita is a rarely described entity, characterized by multiple asymptomatic erythematous and/or brownish macules with telangiectasias, preferably on bilateral upper arms and trunk. We reported a 56-year-old Chinese man with telangiectasia macularis multiplex acquisita. Dermoscopic examination demonstrated an erythematous-brownish background with a striking angioid streak pattern (a central arteriole with superficial radiating small vessels attributed to spider-like eruptions) and linear-irregular branching vessels. We suggest dermoscopic features can be used to improve the accuracy of clinical diagnosis and avoid unnecessary skin biopsies."
"Bisneto Pedro Ferreira, Vilhena da Silva Neto Alexandre, Mota Cordeiro Jady Shayenne, Monteiro Wuelton Marcelo, de Almeida Gonçalves Sachett Jacqueline",Does Covid-19 influence the dynamics of envenomation by animals in a country strongly affected by both conditions? Epidemiological data from Brazil.,"The impact of Covid-19 on envenomations by venomous animals in countries heavily affected by both conditions has not been quantified yet. Brazil shows high incidence of envenomations by scorpions, spiders and snakes and was heavily affected by waves of Covid-19. To determine how the pandemic impacted the epidemiology of envenomations by those three groups of venomous animals, we used online databases from two surveillance sources on number of cases and mortality. During the years before and during the pandemic, scorpion stings typically occurred in adults of both sexes in urban zones in the Southeast and Northeast regions. Spider bites occurred mainly in the South region, in adults of both sexes in urban zone. Snakebites affected mainly rural adult men in the Amazon. Between 2007 and 2021, overall incidence of cases by scorpions, spiders and snakes decreased after the beginning of the pandemic, snakebites did not show changes after the pandemic started in Brazil, but cases by scorpions and spiders decreased. No changes in the incidence of deaths were observed. On national level, Covid-19 affected some demographic, clinical and epidemiological aspects in cases by scorpions, spiders and snakes."
"Tan Guohongfang, Jia Tianshuo, Qi Zhenzhen, Lu Shenzhou",Regenerated Fiber's Ideal Target: Comparable to Natural Fiber.,"The toughness of silk naturally obtained from spiders and silkworms exceeds that of all other natural and man-made fibers. These insects transform aqueous protein feedstocks into mechanically specialized materials, which represents an engineering phenomenon that has developed over millions of years of natural evolution. Silkworms have become a new research hotspot due to the difficulties in collecting spider silk and other challenges. According to continuous research on the natural spinning process of the silkworm, it is possible to divide the main aspects of bionic spinning into two main segments: the solvent and behavior. This work focuses on the various methods currently used for the spinning of artificial silk fibers to replicate natural silk fibers, providing new insights based on changes in the fiber properties and production processes over time."
"Elster Martha J, Parsons Andrew S, Collins Sally, Gusic Maryellen E, Hauer Karen E",'We're like Spider-Man; with great power comes great responsibility': Coaches' experiences supporting struggling medical students.,"Medical students can experience a range of academic and non-academic struggles. Coaching is a valuable strategy to support learners, but coaches describe working with struggling learners as taxing. Transformative learning theory (TLT) provides insights into how educators grow from challenging experiences to build resilience. This study explores how coaches evolve as educators through supporting struggling students."
"Azuara-Antonio Omar, Isidoro Ortiz Mario, Jiménez-Oliver Karla Daniela, Castillo-Cabrera Marco, Méndez-Salinas Ana Karen, Hernández-Ramírez Luz",Utilization of dapsone and hemoglobin in the epithelial skin regeneration therapy of cutaneous loxoscelism: A case report and integrative literature review.,"Loxosceles spp are arthropods found worldwide. Its bite may produce cutaneous loxoscelism (necrotic or edematous) or cutaneous-visceral loxoscelism. Depending on their severity and location, cutaneous forms are managed with local cold application and systemic administration of antihistamines, corticosteroids, antibiotics, polymorphonuclear inhibitors, and analgesics."
"Polchaninova Nina, Marushchak Oleksii",Spiders (Araneae) of the northeast of the Luhansk Oblast (Ukraine).,"The dataset contains records of spiders collected in the northeast of Luhansk Oblast in the periods 1982-1989, 2009-2011 and 2021. It aimed at the inventory of spider fauna of the Striltsivskyi Steppe Nature Reserve and species distribution in the main grassland and forest habitats of the region. The research was also concerned with the impact of conservation management ‒ hay mowing or strict protection and man-induced steppe fire on spider communities."
"Fathallah Neila, Kenani Zied, Mokni Sana, Gammoudi Ryma, Slim Raoudha, Fetoui Ghariani Nadia, Ghariani Najet, Ben Salem Chaker, Ouni Bouraoui, Denguezli Mohamed",Acute generalized exanthematous pustulosis: Analysis of cases managed in a Tunisian tertiary hospital.,"Acute generalized exanthematous pustulosis (AGEP) is a severe and life-threatening cutaneous adverse reaction. Drug-induced AGEP is mainly related to antibiotics. More recently, AGEP following spider bites has been increasingly described. Treatment includes withdrawal of the offending drug and supportive care. In Tunisia, data concerning severe cutaneous adverse reactions (SCARs) in general and especially AGEP is lacking. Herein, we conducted a retrospective study to investigate the epidemiological, clinical characteristics and etiologies of AGEP referred to the Dermatology department. Our study included 32 cases of AGEP. AGEP cases occurred in overall 8.9% of all SCARs referred to the department during the same period study. The majority were females (24 women and 7 men). The median age of the patients was 33 years. A history of psoriasis was reported in 16.1% of patients. All patients presented with an extensive erythematous rash with pinhead pustules. Neutrophil hyperleukocytosis (greater than 7000/mm"
"Hopfe Charlotte, Ospina-Jara Bryan, Schulze Thilo, Tischer Marta, Morales Diego, Reinhartz Vivien, Esfahani Rashin Eshghi, Valderrama Carlos, Pérez-Rigueiro José, Bleidorn Christoph, Feldhaar Heike, Cabra-García Jimmy, Scheibel Thomas",Impact of environmental factors on spider silk properties.,"Spider orb webs have evolved to stop flying prey, fast and slow alike. One of the main web elements dissipating impact energy is the radial fibers, or major ampullate silks, which possess a toughness surpassing most man-made materials. Orb webs are extended phenotypes, and as such their architectural elements, including major ampullate silks, have been selected to optimize prey capture under the respective environmental conditions. In this study, we investigated the correlation of three landscape scales and three microhabitat characteristics with intrinsic silk properties (elastic modulus, yield stress, tensile strength, extensibility, and toughness) to understand underlying ecological patterns. For this purpose, we collected and mechanically tested major ampullate silks from 50 spider species inhabiting large altitudinal and climatic gradients in Colombia. Using regression analysis and model selection, we investigated the environmental drivers of inter- and intra-specific patterns of major ampullate silk properties, taking into account phylogenetic relatedness based on newly sequenced mitochondrial genomes. We found that the total amount of energy absorbed, i.e., toughness and tensile strength, is higher for fibers from species inhabiting regions where heavy rainfall is common. Interestingly, we observe the same general trend between individuals of the same species, stressing the importance of this environmental driver. We also observe a phylogenetic conservation in the relation of environmental variables with silk tensile strength and yield stress. In conclusion, the increase in major ampullate silk tensile strength and toughness may reflect an adaptation to prevent frequent rain damage to orb webs and the associated energetic loss."
"Alvarez-Rubio Francisco Javier, Robles-Tenorio Arturo, Tarango-Martínez Víctor Manuel",Acute-on-Chronic Liver Failure Triggered by Cutaneous Loxoscelism.,"Acute-on-chronic liver failure is a syndrome associated with a high short-term mortality rate. Severe systemic inflammation and single- and multiple-organ failure are a hallmark of this syndrome, with pro-inflammatory precipitating events occurring in the liver or extrahepatic regions. We report a case of a 69-year-old man with a previous diagnosis of alcohol-induced liver cirrhosis who presented with a poorly defined, erythematous-purplish, and edematous plaque with multiple hemorrhagic blisters over the left leg, one day after receiving a spider bite. During the following hours, the skin lesion progressed, and the patient developed hepatic encephalopathy, respiratory failure, and arterial hypotension, requiring the administration of vasopressors; blood analysis revealed hypercreatininemia, an elevated international normalized ratio (INR) value, and hyperbilirubinemia. The patient was diagnosed with acute-on-chronic liver failure caused by cutaneous loxoscelism. There was no hemolytic anemia, rhabdomyolysis, or disseminated intravascular coagulation in the patient, thus excluding the possibility of visceral loxoscelism."
"Brown David B, Chibi Mohamed Tazi, Searles Raymond V, Hassani Nadia",Spider Bite Wound Care and Review of Traditional and Advanced Treatment Options.,"Approaches to chronic wound care are worlds apart: In developing nations, the care of chronic wounds often involves traditional management with local products (eg, honey, boiled potato peels, aloe vera gel, banana leaves); whereas in developed nations, more expensive and technologically advanced products are available (eg, wound vacuum, saline wound chamber, hyperbaric oxygen therapy, antibacterial foam). The cost for wound care plays a significant role in total health care costs, and that cost is expected to rise dramatically."
"Oktaviani Nur Alia, Malay Ali D, Goto Mami, Nagashima Toshio, Hayashi Fumiaki, Numata Keiji",NMR assignment and dynamics of the dimeric form of soluble C-terminal domain major ampullate spidroin 2 from Latrodectus hesperus.,"Spider dragline silk has attracted great interest due to its outstanding mechanical properties, which exceed those of man-made synthetic materials. Dragline silk, which is composed of at least major ampullate spider silk protein 1 and 2 (MaSp1 and MaSp2), contains a long repetitive domain flanked by N-terminal and C-terminal domains (NTD and CTD). Despite the small size of the CTD, this domain plays a crucial role as a molecular switch that regulates and directs spider silk self-assembly. In this study, we report the "
"Giovanni Cannarozzo, Marina Pennati Beatrice, Tiziano Zingoni",A retrospective 10 years- experience overview of dye laser treatments for vascular pathologies.,"The Flash-lamp pulsed dye laser (FPDL) is nowadays considered the most precise laser currently on the market for treating superficial vascular lesions. In this study, we gathered data from 10 years of experience regarding dye laser treatment of patients presenting vascular malformations such as telangiectasia, rhinophyma, port-wine stain, cherry and spider angioma and vascular tumours."
"Toriyama Kazutoshi, Mizushima Reimi, Okuma Takashi, Takeda Yukihisa, Watanabe Yusuke, Nakamura Hiroyuki, Aoshiba Kazutetsu",Bronchoscopic visualization of the inner cavity caused by ,We report a 69-year-old man who presented to our hospital with cough and sputum production. He had been in close contact with six domestic cats. He had a smoking history of 40 pack-years and had been in close contact with six domestic cats. A chest computed tomography scan revealed multiple consolidations with cavities in both lung fields. 
"Hunter Harriet, Johnston Alexander Je, Said Waseem, Wong Newton Acs",Colonic spider naevi in a middle-aged man.,N/A
"Castro Pedro Henrique C, Paiva Ana Luiza B, Peixoto Gustavo Vinícius M, Oliveira-Mendes Bárbara Bruna R, Calaça Paula, Matavel Alessandra",Epidemiology of arthropods envenomation in Brazil: a public health issue.,"Brazil is located between the Equator and Tropic of Capricorn, which allows diverse climates, reliefs, and habitats for arthropods, which sting represents a risk to human health and a public health issue. This manuscript updates the epidemiological data of cases of human envenoming by spiders, scorpions, and insects with medical relevance in Brazil from 2010 to 2021. Epidemiological data were taken using the Brazilian Notifiable Diseases Information System. Statistics of non-parametric data used the Kruskal-Wallis followed by the Nemenyi test. On average, more than 145,000 envenomation and 145 deaths are recorded annually, and more than 60% of deaths are caused by scorpion bites. When the number of deaths was pondered by the number of cases with each arthropod, bees kill the most. Most stings cause mild symptoms and affect men of working age. The incidence decreases during the colder months, which is better noticeable in regions with well-defined seasons. The distribution is distinct among the regions: Southeast, Northeast, and South have the highest rate of bites. The growing number of cases of envenomation reported annually is a serious public health concern, especially involving scorpions, and highlights the importance of studying arthropod venom and improving the therapies."
"Perera Dinidu, Li Linxuan, Walsh Chloe, Silliman Jacob, Xiong Yawei, Wang Qijue, Schniepp Hannes C",Natural spider silk nanofibrils produced by assembling molecules or disassembling fibers.,"Spider silk is biocompatible, biodegradable, and rivals some of the best synthetic materials in terms of strength and toughness. Despite extensive research, comprehensive experimental evidence of the formation and morphology of its internal structure is still limited and controversially discussed. Here, we report the complete mechanical decomposition of natural silk fibers from the golden silk orb-weaver Trichonephila clavipes into ≈10 nm-diameter nanofibrils, the material's apparent fundamental building blocks. Furthermore, we produced nanofibrils of virtually identical morphology by triggering an intrinsic self-assembly mechanism of the silk proteins. Independent physico-chemical fibrillation triggers were revealed, enabling fiber assembly from stored precursors ""at-will"". This knowledge furthers the understanding of this exceptional material's fundamentals, and ultimately, leads toward the realization of silk-based high-performance materials. STATEMENT OF SIGNIFICANCE: Spider silk is one of the strongest and toughest biomaterials, rivaling the best man-made materials. The origins of these traits are still under debate but are mostly attributed to the material's intriguing hierarchical structure. Here we fully disassembled spider silk into 10 nm-diameter nanofibrils for the first time and showed that nanofibrils of the same appearance can be produced via molecular self-assembly of spider silk proteins under certain conditions. This shows that nanofibrils are the key structural elements in silk and leads toward the production of high-performance future materials inspired by spider silk."
"Chrastina Jan, Haroková Martina",End of Life in Boys and Young Men With Duchenne Muscular Dystrophy - The Perspective of Dying Men and Their Families: A Systematic Review and Thematic Synthesis of Qualitative Evidence.,"Understanding the perceptions and experiences related to the end of life (EoL) of boys and men with Duchenne muscular dystrophy from their own and/or family perspective is limited based on the available qualitative empirical studies. This systematic review was done with a thematic synthesis of qualitative evidence according to the PRISMA Statement Guidelines and the SPIDER search tool. The review included empirical, qualitative, and relevant full-text studies published in 2000-2023 in the EBSCO Discovery Service, ISI Web of Science, Scopus, PubMed, and ProQuest databases. From o total of eight included qualitative studies, four main key themes were identified: ""Being a parent/caregiver"" - psychosocial aspects, needs, and experiences; ""Communication about EoL with healthcare and other professionals"" - positive experiences and personal shortcomings; ""Discussions about…"" - the issue of EoL, dying and death; and ""End of life"" - end-of-life care, planning and the need for palliative care."
"Urdiales-Gálvez Fernando, Castellano-Miralla Antonio",Effectiveness and safety of a narrow band spectrum intense pulsed-light dye with long pulse Nd:YAG laser for treating facial vascular lesions.,"Different devices are currently used for treating facial vascular lesions (FVL). This paper presents the aesthetic outcomes using different light-based and laser devices, including narrow band spectrum intense pulsed-light dye (NB-Dye-VL), Pulsed dye laser (PDL)-neodymium-doped yttrium-aluminum-garnet (Nd:YAG) dual-therapy, and either PDL or LP Nd:YAG for treating FVL in a clinical setting."
"Harke Nina N, Strauss Sarah, Peters Inga, Katzendorn Olga, Tezval Hossein, Kuczyk Markus A, Vogt Peter M",Spider silk erectile nerve reconstruction in robot-assisted radical prostatectomy: a first-in-men feasibility analysis.,To investigate the safety and feasibility of spider silk interposition for erectile nerve reconstruction in patients undergoing robotic radical prostatectomy (RARP).
"Subbukutti Veerabahu, Sailatha Ethirajulu, Gunasekaran Sethu, Manibalan Subramaniyan, Uma Devi Kumba Janarthanan, Bhuvaneshwari Koteeswaran, Suvedha Rajendran",Evaluation of wound healing active principles in the transdermal patch formulated with crude bio wastes and plant extracts against GSK-3 beta ,"The wound-healing process is accelerated by inhibiting proteins that decelerate the wound-healing pathway. One of the active proteins involved in enhancing healing at the nuclear level and in gene expression is catenin. Inhibition of Glycogen Synthase Kinase 3β (GSK3 β) phosphorylates and degrades catenin via the downstream Wnt signalling pathway, thereby stabilizing catenin. A medicated wound dressing transdermal patch designed with fusion of bio wastes, viz. physiologically clotted fibrin, fish scale collagen, and the ethanolic extract of "
"Qi Luhe, Wang Sen, Chen Lu, Yu Le, Guo Xiaojia, Chen Mingxiang, Ouyang Wengen, Shi Xiaowen, Chen Chaoji","Bioinspired Multiscale Micro-/Nanofiber Network Design Enabling Extremely Compressible, Fatigue-Resistant, and Rapidly Shape-Recoverable Cryogels.","Cryogels with extreme mechanical properties such as ultrahigh compressibility, fatigue resistance, and rapid recovery are attractive in biomedical, environmental remediation, and energy storage applications, which, however, are difficult to achieve in man-made materials. Here, inspired by the multiscale macro-/microfiber network structure of spider web, we construct an ultraelastic chitosan cryogel with interconnected hybrid micro-/nanofibers (CMNF cryogels) "
"Gómez-Muñoz Eduardo, Pérez-Úbeda María José, Garríguez-Pérez Daniel, Echevarría-Marín Marta, Gimeno María Dolores, Marco Fernando",Suspected Brown Recluse Spider Envenomation: Missed Diagnosis and Delayed Treatment of Loxoscelism: A Case Report.,"We report the case of a previously healthy 51-year-old man who presented to our hospital after worsening clinical appearance of his left ring finger, despite antibiotics and previous surgical drainage for suspected abscess at an outside institution 3 weeks ago. He was admitted to our hospital for surgical debridement and decompression. After suspicion of cutaneous loxoscelism based on the clinical record and corticosteroid administration, the patient presented a favorable evolution."
"Peterson Malina Yamashita, Han Joohee, Xiong Michelle, Werling Robert, Neeley Anne, Scherman Joseph, Kozlowski Anna",Hitchhiking spider: a case of unilateral vasculitis.,"A 63-year-old man presented with two days of palpable purpura over the right anterior shin and calf with notable point tenderness on the distal mid-calf without any palpable deep abnormality. Localized right calf pain worsened with walking and was associated with headache, chills, fatigue, and low-grade fevers. A punch biopsy of the anterior right lower leg showed necrotizing neutrophilic vasculitis of superficial and deep vessels. Direct immunofluorescence showed non-specific focal granular deposition of C3 within vessel walls. Three days after presentation, a live spider was found and microscopically identified as a male hobo spider. The patient suspected the spider arrived via packages shipped from Seattle, Washington. The patient was treated with a prednisone taper with full resolution of his cutaneous symptoms. Given the unilaterality of his symptoms and otherwise unexplained etiology, the patient was diagnosed with acute unilateral vasculitis secondary to hobo spider bite. Microscopic examination is required for identification of hobo spiders. Although not deadly, there have been several reports of cutaneous and systemic reactions resulting from hobo spider bites. Our case illustrates the importance of considering hobo spider bites in areas outside of their native regions, as they are known to travel in packaged items."
Melrose James,High Performance Marine and Terrestrial Bioadhesives and the Biomedical Applications They Have Inspired.,"This study has reviewed the naturally occurring bioadhesives produced in marine and freshwater aqueous environments and in the mucinous exudates of some terrestrial animals which have remarkable properties providing adhesion under difficult environmental conditions. These bioadhesives have inspired the development of medical bioadhesives with impressive properties that provide an effective alternative to suturing surgical wounds improving closure and healing of wounds in technically demanding tissues such as the heart, lung and soft tissues like the brain and intestinal mucosa. The Gecko has developed a dry-adhesive system of exceptional performance and has inspired the development of new generation re-usable tapes applicable to many medical procedures. The silk of spider webs has been equally inspiring to structural engineers and materials scientists and has revealed innovative properties which have led to new generation technologies in photonics, phononics and micro-electronics in the development of wearable biosensors. Man made products designed to emulate the performance of these natural bioadhesive molecules are improving wound closure and healing of problematic lesions such as diabetic foot ulcers which are notoriously painful and have also found application in many other areas in biomedicine. Armed with information on the mechanistic properties of these impressive biomolecules major advances are expected in biomedicine, micro-electronics, photonics, materials science, artificial intelligence and robotics technology."
