Author,Title,Abstract,Title Tokens and Labels,Abstract Tokens and Labels
"Argilés Marc, Fonts Elisabet, Pérez-Mañá Luis, Martinez-Navarro Beatriz, Sora-Domenjó Carles, Pérez-Cabré Elisabet, Sunyer-Grau Bernat, Rovira-Gay Cristina, Molins-Pitarch Carla, Quevedo-Junyent Lluïsa",Effects of colour and scene dynamism on visual fatigue in animated films.,"Animated films are highly popular in society, particularly among children and adolescents. During film production, selecting an adequate colour palette and scene dynamism is crucial for creating a visual impact on the audience. However, the influence of visual aesthetics, such as colour and scene dynamism on visual fatigue remains unexplored. In the present study, visual fatigue was assessed and compared in 30 young participants after viewing two popular films: Spider-Man: Across the Spider-Verse, an active, fast-paced film, and My Neighbour Totoro, a more relaxed film. Both films were viewed twice, once with the original colour palette and once in greyscale. Watching Spider-Man film induced a greater degree of visual fatigue than My Neighbour Totoro in two subjective questionnaires evaluating visual fatigue, and in the vergence facility and binocular accommodative facility tests. Moreover, important differences in the visual dynamics and colour aspects between both films were found. These results demonstrate that the high-paced and high-colour aspects of films directly affect visual fatigue. Future animated film producers should consider these factors that are relevant to their audiences.","[(['Effects', 'of', 'colour', 'and', 'scene', 'dynamism', 'on', 'visual', 'fatigue', 'in', 'animated', 'films'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Animated', 'films', 'are', 'highly', 'popular', 'in', 'society', 'particularly', 'among', 'children', 'and', 'adolescents'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['During', 'film', 'production', 'selecting', 'an', 'adequate', 'colour', 'palette', 'and', 'scene', 'dynamism', 'is', 'crucial', 'for', 'creating', 'a', 'visual', 'impact', 'on', 'the', 'audience'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['However', 'the', 'influence', 'of', 'visual', 'aesthetics', 'such', 'as', 'colour', 'and', 'scene', 'dynamism', 'on', 'visual', 'fatigue', 'remains', 'unexplored'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['In', 'the', 'present', 'study', 'visual', 'fatigue', 'was', 'assessed', 'and', 'compared', 'in', '30', 'young', 'participants', 'after', 'viewing', 'two', 'popular', 'films', 'Spider', 'Man', 'Across', 'the', 'Spider', 'Verse', 'an', 'active', 'fast', 'paced', 'film', 'and', 'My', 'Neighbour', 'Totoro', 'a', 'more', 'relaxed', 'film'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Both', 'films', 'were', 'viewed', 'twice', 'once', 'with', 'the', 'original', 'colour', 'palette', 'and', 'once', 'in', 'greyscale'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Watching', 'Spider', 'Man', 'film', 'induced', 'a', 'greater', 'degree', 'of', 'visual', 'fatigue', 'than', 'My', 'Neighbour', 'Totoro', 'in', 'two', 'subjective', 'questionnaires', 'evaluating', 'visual', 'fatigue', 'and', 'in', 'the', 'vergence', 'facility', 'and', 'binocular', 'accommodative', 'facility', 'tests'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Moreover', 'important', 'differences', 'in', 'the', 'visual', 'dynamics', 'and', 'colour', 'aspects', 'between', 'both', 'films', 'were', 'found'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['These', 'results', 'demonstrate', 'that', 'the', 'high', 'paced', 'and', 'high', 'colour', 'aspects', 'of', 'films', 'directly', 'affect', 'visual', 'fatigue'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Future', 'animated', 'film', 'producers', 'should', 'consider', 'these', 'factors', 'that', 'are', 'relevant', 'to', 'their', 'audiences'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
Zeid Alia,,N/A,"[([], [])]","[(['N', 'A'], ['O', 'O'])]"
"Mai Daniel, Muthukumarasamy Nirmal, Ford Bradley, Sekar Poorani",Systemic loxoscelism leading to autoimmune haemolytic anaemia in a healthy young adult.,The brown recluse spider (,"[(['Systemic', 'loxoscelism', 'leading', 'to', 'autoimmune', 'haemolytic', 'anaemia', 'in', 'a', 'healthy', 'young', 'adult'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['The', 'brown', 'recluse', 'spider'], ['O', 'O', 'O', 'O'])]"
"José Alejandro García-Arredondo, Juan Mosqueda, Luis Cuéllar-Balleza, Fátima Pamela Sánchez-Morales, Ivonne Buitrón, Diana Laura Pescador-Tovar, Ashly Mohan",Envenomation by the Indian ornamental tarantula (Poecilotheria regalis): A case report on treatment with Latrodectus mactans antivenom.,"Poecilotheria spiders are considered theraphosids of underestimated clinical importance, with bites from these species inducing symptoms such as severe pain and intense muscle cramps. However, there is no specific treatment for the envenomation caused by these species, which, while native to India and Sri Lanka, are widely distributed worldwide. The present study reports the case of a 31-year-old man bitten by a Poecilotheria regalis specimen. The patient's clinical presentation was similar to Latrodectus envenomation, and patient was treated with an L. mactans antivenom. Most of patient's symptoms improved (fasciculations, pain, erythema, and local swelling), except muscle cramps. A toxicological study conducted on mice did not show that L. mactans antivenom has a neutralizing effect on the toxicity of P. regalis. The present report discusses the envenoming process of Poecilotheria species and the possible neutralizing effect exerted by L. mactans antivenom.","[(['Envenomation', 'by', 'the', 'Indian', 'ornamental', 'tarantula', 'Poecilotheria', 'regalis', 'A', 'case', 'report', 'on', 'treatment', 'with', 'Latrodectus', 'mactans', 'antivenom'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Poecilotheria', 'spiders', 'are', 'considered', 'theraphosids', 'of', 'underestimated', 'clinical', 'importance', 'with', 'bites', 'from', 'these', 'species', 'inducing', 'symptoms', 'such', 'as', 'severe', 'pain', 'and', 'intense', 'muscle', 'cramps'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['However', 'there', 'is', 'no', 'specific', 'treatment', 'for', 'the', 'envenomation', 'caused', 'by', 'these', 'species', 'which', 'while', 'native', 'to', 'India', 'and', 'Sri', 'Lanka', 'are', 'widely', 'distributed', 'worldwide'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['The', 'present', 'study', 'reports', 'the', 'case', 'of', 'a', '31', 'year', 'old', 'man', 'bitten', 'by', 'a', 'Poecilotheria', 'regalis', 'specimen'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['The', 'patient', 's', 'clinical', 'presentation', 'was', 'similar', 'to', 'Latrodectus', 'envenomation', 'and', 'patient', 'was', 'treated', 'with', 'an', 'L'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['mactans', 'antivenom'], ['O', 'O']), (['Most', 'of', 'patient', 's', 'symptoms', 'improved', 'fasciculations', 'pain', 'erythema', 'and', 'local', 'swelling', 'except', 'muscle', 'cramps'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['A', 'toxicological', 'study', 'conducted', 'on', 'mice', 'did', 'not', 'show', 'that', 'L'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['mactans', 'antivenom', 'has', 'a', 'neutralizing', 'effect', 'on', 'the', 'toxicity', 'of', 'P'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['regalis'], ['O']), (['The', 'present', 'report', 'discusses', 'the', 'envenoming', 'process', 'of', 'Poecilotheria', 'species', 'and', 'the', 'possible', 'neutralizing', 'effect', 'exerted', 'by', 'L'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['mactans', 'antivenom'], ['O', 'O']), ([], [])]"
"Fedele Marco, Antonelli Mariangela, Carbone Egidio, Di Stefano Marco, Manna Raffaele, Addolorato Giovanni","Spider Bite Presenting as Fever, Macrophage Activation Syndrome and a Skin Ulcer.","Fever of unknown origin (FUO) refers to a condition of prolonged increased body temperature, without identified causes. The most common cause of FUO worldwide are infections; arthropod bites (loxoscelism) should be considered in view of the spread of the fiddleback spider. Loxoscelism can present in a cutaneous form (a necrotic cutaneous ulcer) or in a systemic form with fever, haemolytic anaemia, rhabdomyolysis and, rarely, macrophage activation syndrome (MAS). For this suspicion, it is important to have actually seen the spider.","[(['Spider', 'Bite', 'Presenting', 'as', 'Fever', 'Macrophage', 'Activation', 'Syndrome', 'and', 'a', 'Skin', 'Ulcer'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Fever', 'of', 'unknown', 'origin', 'FUO', 'refers', 'to', 'a', 'condition', 'of', 'prolonged', 'increased', 'body', 'temperature', 'without', 'identified', 'causes'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['The', 'most', 'common', 'cause', 'of', 'FUO', 'worldwide', 'are', 'infections', 'arthropod', 'bites', 'loxoscelism', 'should', 'be', 'considered', 'in', 'view', 'of', 'the', 'spread', 'of', 'the', 'fiddleback', 'spider'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Loxoscelism', 'can', 'present', 'in', 'a', 'cutaneous', 'form', 'a', 'necrotic', 'cutaneous', 'ulcer', 'or', 'in', 'a', 'systemic', 'form', 'with', 'fever', 'haemolytic', 'anaemia', 'rhabdomyolysis', 'and', 'rarely', 'macrophage', 'activation', 'syndrome', 'MAS'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['For', 'this', 'suspicion', 'it', 'is', 'important', 'to', 'have', 'actually', 'seen', 'the', 'spider'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
Wang Xiaopo,Dermoscopic features of telangiectasia macularis multiplex acquisita.,"Telangiectasia macularis multiplex acquisita is a rarely described entity, characterized by multiple asymptomatic erythematous and/or brownish macules with telangiectasias, preferably on bilateral upper arms and trunk. We reported a 56-year-old Chinese man with telangiectasia macularis multiplex acquisita. Dermoscopic examination demonstrated an erythematous-brownish background with a striking angioid streak pattern (a central arteriole with superficial radiating small vessels attributed to spider-like eruptions) and linear-irregular branching vessels. We suggest dermoscopic features can be used to improve the accuracy of clinical diagnosis and avoid unnecessary skin biopsies.","[(['Dermoscopic', 'features', 'of', 'telangiectasia', 'macularis', 'multiplex', 'acquisita'], ['O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Telangiectasia', 'macularis', 'multiplex', 'acquisita', 'is', 'a', 'rarely', 'described', 'entity', 'characterized', 'by', 'multiple', 'asymptomatic', 'erythematous', 'and', 'or', 'brownish', 'macules', 'with', 'telangiectasias', 'preferably', 'on', 'bilateral', 'upper', 'arms', 'and', 'trunk'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['We', 'reported', 'a', '56', 'year', 'old', 'Chinese', 'man', 'with', 'telangiectasia', 'macularis', 'multiplex', 'acquisita'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Dermoscopic', 'examination', 'demonstrated', 'an', 'erythematous', 'brownish', 'background', 'with', 'a', 'striking', 'angioid', 'streak', 'pattern', 'a', 'central', 'arteriole', 'with', 'superficial', 'radiating', 'small', 'vessels', 'attributed', 'to', 'spider', 'like', 'eruptions', 'and', 'linear', 'irregular', 'branching', 'vessels'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['We', 'suggest', 'dermoscopic', 'features', 'can', 'be', 'used', 'to', 'improve', 'the', 'accuracy', 'of', 'clinical', 'diagnosis', 'and', 'avoid', 'unnecessary', 'skin', 'biopsies'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
"Bisneto Pedro Ferreira, Vilhena da Silva Neto Alexandre, Mota Cordeiro Jady Shayenne, Monteiro Wuelton Marcelo, de Almeida Gonçalves Sachett Jacqueline",Does Covid-19 influence the dynamics of envenomation by animals in a country strongly affected by both conditions? Epidemiological data from Brazil.,"The impact of Covid-19 on envenomations by venomous animals in countries heavily affected by both conditions has not been quantified yet. Brazil shows high incidence of envenomations by scorpions, spiders and snakes and was heavily affected by waves of Covid-19. To determine how the pandemic impacted the epidemiology of envenomations by those three groups of venomous animals, we used online databases from two surveillance sources on number of cases and mortality. During the years before and during the pandemic, scorpion stings typically occurred in adults of both sexes in urban zones in the Southeast and Northeast regions. Spider bites occurred mainly in the South region, in adults of both sexes in urban zone. Snakebites affected mainly rural adult men in the Amazon. Between 2007 and 2021, overall incidence of cases by scorpions, spiders and snakes decreased after the beginning of the pandemic, snakebites did not show changes after the pandemic started in Brazil, but cases by scorpions and spiders decreased. No changes in the incidence of deaths were observed. On national level, Covid-19 affected some demographic, clinical and epidemiological aspects in cases by scorpions, spiders and snakes.","[(['Does', 'Covid', '19', 'influence', 'the', 'dynamics', 'of', 'envenomation', 'by', 'animals', 'in', 'a', 'country', 'strongly', 'affected', 'by', 'both', 'conditions'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Epidemiological', 'data', 'from', 'Brazil'], ['O', 'O', 'O', 'O']), ([], [])]","[(['The', 'impact', 'of', 'Covid', '19', 'on', 'envenomations', 'by', 'venomous', 'animals', 'in', 'countries', 'heavily', 'affected', 'by', 'both', 'conditions', 'has', 'not', 'been', 'quantified', 'yet'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Brazil', 'shows', 'high', 'incidence', 'of', 'envenomations', 'by', 'scorpions', 'spiders', 'and', 'snakes', 'and', 'was', 'heavily', 'affected', 'by', 'waves', 'of', 'Covid', '19'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['To', 'determine', 'how', 'the', 'pandemic', 'impacted', 'the', 'epidemiology', 'of', 'envenomations', 'by', 'those', 'three', 'groups', 'of', 'venomous', 'animals', 'we', 'used', 'online', 'databases', 'from', 'two', 'surveillance', 'sources', 'on', 'number', 'of', 'cases', 'and', 'mortality'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['During', 'the', 'years', 'before', 'and', 'during', 'the', 'pandemic', 'scorpion', 'stings', 'typically', 'occurred', 'in', 'adults', 'of', 'both', 'sexes', 'in', 'urban', 'zones', 'in', 'the', 'Southeast', 'and', 'Northeast', 'regions'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Spider', 'bites', 'occurred', 'mainly', 'in', 'the', 'South', 'region', 'in', 'adults', 'of', 'both', 'sexes', 'in', 'urban', 'zone'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Snakebites', 'affected', 'mainly', 'rural', 'adult', 'men', 'in', 'the', 'Amazon'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Between', '2007', 'and', '2021', 'overall', 'incidence', 'of', 'cases', 'by', 'scorpions', 'spiders', 'and', 'snakes', 'decreased', 'after', 'the', 'beginning', 'of', 'the', 'pandemic', 'snakebites', 'did', 'not', 'show', 'changes', 'after', 'the', 'pandemic', 'started', 'in', 'Brazil', 'but', 'cases', 'by', 'scorpions', 'and', 'spiders', 'decreased'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['No', 'changes', 'in', 'the', 'incidence', 'of', 'deaths', 'were', 'observed'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['On', 'national', 'level', 'Covid', '19', 'affected', 'some', 'demographic', 'clinical', 'and', 'epidemiological', 'aspects', 'in', 'cases', 'by', 'scorpions', 'spiders', 'and', 'snakes'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
"Tan Guohongfang, Jia Tianshuo, Qi Zhenzhen, Lu Shenzhou",Regenerated Fiber's Ideal Target: Comparable to Natural Fiber.,"The toughness of silk naturally obtained from spiders and silkworms exceeds that of all other natural and man-made fibers. These insects transform aqueous protein feedstocks into mechanically specialized materials, which represents an engineering phenomenon that has developed over millions of years of natural evolution. Silkworms have become a new research hotspot due to the difficulties in collecting spider silk and other challenges. According to continuous research on the natural spinning process of the silkworm, it is possible to divide the main aspects of bionic spinning into two main segments: the solvent and behavior. This work focuses on the various methods currently used for the spinning of artificial silk fibers to replicate natural silk fibers, providing new insights based on changes in the fiber properties and production processes over time.","[(['Regenerated', 'Fiber', 's', 'Ideal', 'Target', 'Comparable', 'to', 'Natural', 'Fiber'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['The', 'toughness', 'of', 'silk', 'naturally', 'obtained', 'from', 'spiders', 'and', 'silkworms', 'exceeds', 'that', 'of', 'all', 'other', 'natural', 'and', 'man', 'made', 'fibers'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['These', 'insects', 'transform', 'aqueous', 'protein', 'feedstocks', 'into', 'mechanically', 'specialized', 'materials', 'which', 'represents', 'an', 'engineering', 'phenomenon', 'that', 'has', 'developed', 'over', 'millions', 'of', 'years', 'of', 'natural', 'evolution'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Silkworms', 'have', 'become', 'a', 'new', 'research', 'hotspot', 'due', 'to', 'the', 'difficulties', 'in', 'collecting', 'spider', 'silk', 'and', 'other', 'challenges'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['According', 'to', 'continuous', 'research', 'on', 'the', 'natural', 'spinning', 'process', 'of', 'the', 'silkworm', 'it', 'is', 'possible', 'to', 'divide', 'the', 'main', 'aspects', 'of', 'bionic', 'spinning', 'into', 'two', 'main', 'segments', 'the', 'solvent', 'and', 'behavior'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['This', 'work', 'focuses', 'on', 'the', 'various', 'methods', 'currently', 'used', 'for', 'the', 'spinning', 'of', 'artificial', 'silk', 'fibers', 'to', 'replicate', 'natural', 'silk', 'fibers', 'providing', 'new', 'insights', 'based', 'on', 'changes', 'in', 'the', 'fiber', 'properties', 'and', 'production', 'processes', 'over', 'time'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
"Elster Martha J, Parsons Andrew S, Collins Sally, Gusic Maryellen E, Hauer Karen E",'We're like Spider-Man; with great power comes great responsibility': Coaches' experiences supporting struggling medical students.,"Medical students can experience a range of academic and non-academic struggles. Coaching is a valuable strategy to support learners, but coaches describe working with struggling learners as taxing. Transformative learning theory (TLT) provides insights into how educators grow from challenging experiences to build resilience. This study explores how coaches evolve as educators through supporting struggling students.","[(['We', 're', 'like', 'Spider', 'Man', 'with', 'great', 'power', 'comes', 'great', 'responsibility', 'Coaches', 'experiences', 'supporting', 'struggling', 'medical', 'students'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Medical', 'students', 'can', 'experience', 'a', 'range', 'of', 'academic', 'and', 'non', 'academic', 'struggles'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Coaching', 'is', 'a', 'valuable', 'strategy', 'to', 'support', 'learners', 'but', 'coaches', 'describe', 'working', 'with', 'struggling', 'learners', 'as', 'taxing'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Transformative', 'learning', 'theory', 'TLT', 'provides', 'insights', 'into', 'how', 'educators', 'grow', 'from', 'challenging', 'experiences', 'to', 'build', 'resilience'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['This', 'study', 'explores', 'how', 'coaches', 'evolve', 'as', 'educators', 'through', 'supporting', 'struggling', 'students'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
"Azuara-Antonio Omar, Isidoro Ortiz Mario, Jiménez-Oliver Karla Daniela, Castillo-Cabrera Marco, Méndez-Salinas Ana Karen, Hernández-Ramírez Luz",Utilization of dapsone and hemoglobin in the epithelial skin regeneration therapy of cutaneous loxoscelism: A case report and integrative literature review.,"Loxosceles spp are arthropods found worldwide. Its bite may produce cutaneous loxoscelism (necrotic or edematous) or cutaneous-visceral loxoscelism. Depending on their severity and location, cutaneous forms are managed with local cold application and systemic administration of antihistamines, corticosteroids, antibiotics, polymorphonuclear inhibitors, and analgesics.","[(['Utilization', 'of', 'dapsone', 'and', 'hemoglobin', 'in', 'the', 'epithelial', 'skin', 'regeneration', 'therapy', 'of', 'cutaneous', 'loxoscelism', 'A', 'case', 'report', 'and', 'integrative', 'literature', 'review'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]","[(['Loxosceles', 'spp', 'are', 'arthropods', 'found', 'worldwide'], ['O', 'O', 'O', 'O', 'O', 'O']), (['Its', 'bite', 'may', 'produce', 'cutaneous', 'loxoscelism', 'necrotic', 'or', 'edematous', 'or', 'cutaneous', 'visceral', 'loxoscelism'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), (['Depending', 'on', 'their', 'severity', 'and', 'location', 'cutaneous', 'forms', 'are', 'managed', 'with', 'local', 'cold', 'application', 'and', 'systemic', 'administration', 'of', 'antihistamines', 'corticosteroids', 'antibiotics', 'polymorphonuclear', 'inhibitors', 'and', 'analgesics'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']), ([], [])]"
